Year;Rock;Pop;Rap;Country;
1960;3;6;0;1;
1961;3;5;0;2;
1962;2;7;0;1;
1963;1;8;0;1;
1964;4;5;0;1;
1965;5;4;0;1;
1966;4;5;0;1;
1967;3;7;0;0;
1968;3;6;0;1;
1969;2;8;0;0;
1970;6;4;0;0;
1971;4;5;0;1;
1972;4;6;0;0;
1973;3;5;0;2;
1974;3;6;0;1;
1975;5;2;0;2;
1976;3;7;0;0;
1977;5;5;0;0;
1978;3;7;0;0;
1979;2;8;0;0;
1980;6;4;0;0;
1981;4;4;0;2;
1982;6;4;0;0;
1983;3;7;0;0;
1984;4;6;0;0;
1985;3;7;0;0;
1986;4;6;0;0;
1987;7;3;0;0;
1988;6;4;0;0;
1989;2;7;1;0;
1990;5;4;1;0;
1991;3;5;2;0;
1992;2;5;3;0;
1993;0;8;2;0;
1994;4;6;0;0;
1995;0;8;2;0;
1996;1;8;1;0;
1997;1;7;2;0;
1998;2;8;0;0;
1999;1;9;0;0;
2000;4;4;0;2;
2001;4;4;2;0;
2002;4;4;3;0;
2003;3;6;2;0;
2004;3;3;4;0;
2005;1;4;5;0;
2006;1;8;1;0;
2007;0;8;2;0;
2008;2;5;3;0;
2009;0;6;3;1;
2010;1;6;2;1;
2011;0;8;2;0;
2012;1;7;2;0;
2013;1;5;3;1;
2014;1;8;1;0;
2015;1;6;3;0;
2016;0;8;2;0;
2017;1;5;3;1;
2018;0;5;4;1;
2019;0;6;4;0;
;;;;;